team_id,team_name,group_code,confederation,is_host,host_country,fifa_rank,fifa_points,current_elo,as_of_date,matches_last_5,wins_last_5,points_avg_last_5,goal_diff_avg_last_5,matches_last_10,wins_last_10,points_avg_last_10,goals_for_avg_last_10,goals_against_avg_last_10,goal_diff_avg_last_10,avg_opponent_elo_last_10,days_since_last_match
NOR,Norway,I,UEFA,0,,31,1557.44,1803.7,2026-06-11,5,2,1.6,0.8,10,6,2.1,3.1,0.8,2.3,1594.402702101031,4
ARG,Argentina,J,CONMEBOL,0,,1,1877.27,1977.1,2026-06-11,5,5,3.0,2.6,10,8,2.5,2.5,0.3,2.2,1560.0816567073089,2
ALG,Algeria,J,CAF,0,,28,1571.03,1802.32,2026-06-11,5,3,2.0,2.0,10,7,2.3,2.1,0.4,1.7,1596.7097551430477,1
AUT,Austria,J,UEFA,0,,24,1597.4,1717.2,2026-06-11,5,4,2.6,1.6,10,8,2.5,2.7,0.4,2.3,1426.6539634253145,10
JOR,Jordan,J,AFC,0,,63,,1675.29,2026-06-11,5,0,0.4,-1.2,10,5,1.7,1.7,1.5,0.2,1658.774714275308,4
POR,Portugal,K,UEFA,0,,5,1767.85,1858.26,2026-06-11,5,4,2.6,2.4,10,7,2.3,2.6,0.9,1.7,1573.0651492472912,1
COD,Congo DR,K,CAF,0,,46,1474.43,1682.63,2026-06-11,5,2,1.4,0.2,10,5,1.8,1.1,0.5,0.6,1566.372726428605,2
UZB,Uzbekistan,K,AFC,0,,50,1458.73,1746.42,2026-06-11,5,1,1.0,-0.2,10,4,1.5,1.4,0.9,0.5,1629.7856648499285,3
COL,Colombia,K,CONMEBOL,0,,13,1698.35,1841.35,2026-06-11,5,3,1.8,0.8,10,7,2.2,2.5,1.0,1.5,1714.154775548129,4
ENG,England,L,UEFA,0,,4,1828.02,1942.3,2026-06-11,5,3,2.0,1.0,10,8,2.5,2.4,0.2,2.2,1586.6932828160354,1
CRO,Croatia,L,UEFA,0,,11,1714.87,1807.76,2026-06-11,5,3,1.8,-0.2,10,7,2.2,1.9,1.0,0.9,1505.215187467636,4
GHA,Ghana,L,CAF,0,,73,,1602.63,2026-06-11,5,0,0.2,-1.6,10,3,1.1,1.1,1.4,-0.3,1640.4871222844456,9
PAN,Panama,L,CONCACAF,0,,34,1539.16,1734.68,2026-06-11,5,2,1.6,-0.2,10,4,1.6,1.8,1.6,0.2,1566.6404787664442,5
