match_id,stage,group_code,match_date,local_time,team_a_id,team_a_name,team_b_id,team_b_name,venue_id,stadium,city,country,venue_altitude_m,team_a_rest_days,team_b_rest_days,rest_days_difference,team_a_travel_km,team_b_travel_km,travel_km_difference
GS038,Group Stage,G,2026-06-15,12:00,BEL,Belgium,EGY,Egypt,VEN13,Lumen Field,Seattle,United States,2,,,,,,
GS043,Group Stage,H,2026-06-15,18:00,KSA,Saudi Arabia,URU,Uruguay,VEN16,Hard Rock Stadium,Miami Gardens,United States,88,,,,,,
GS037,Group Stage,G,2026-06-15,18:00,IRN,Iran,NZL,New Zealand,VEN11,SoFi Stadium,Inglewood,United States,265,,,,,,
GS049,Group Stage,I,2026-06-16,15:00,FRA,France,SEN,Senegal,VEN06,MetLife Stadium,East Rutherford,United States,56,,,,,,
GS050,Group Stage,I,2026-06-16,18:00,IRQ,Iraq,NOR,Norway,VEN15,Gillette Stadium,Foxborough,United States,2,,,,,,
GS055,Group Stage,J,2026-06-16,20:00,ARG,Argentina,ALG,Algeria,VEN08,Arrowhead Stadium,Kansas City,United States,38,,,,,,
GS056,Group Stage,J,2026-06-16,21:00,AUT,Austria,JOR,Jordan,VEN14,Levi's Stadium,Santa Clara,United States,12,,,,,,
GS061,Group Stage,K,2026-06-17,12:00,POR,Portugal,COD,DR Congo,VEN09,NRG Stadium,Houston,United States,163,,,,,,
GS068,Group Stage,L,2026-06-17,15:00,ENG,England,CRO,Croatia,VEN07,AT&T Stadium,Arlington,United States,7,,,,,,
GS067,Group Stage,L,2026-06-17,19:00,GHA,Ghana,PAN,Panama,VEN02,BMO Field,Toronto,Canada,76,,,,,,
GS062,Group Stage,K,2026-06-17,20:00,UZB,Uzbekistan,COL,Colombia,VEN03,Estadio Azteca,Mexico City,Mexico,2200,,,,,,
GS009,Group Stage,B,2026-06-18,12:00,SUI,Switzerland,BIH,Bosnia and Herzegovina,VEN11,SoFi Stadium,Inglewood,United States,265,5.0,5.88,-0.8799999999999999,1657.4,1354.6,302.8000000000002
GS003,Group Stage,A,2026-06-18,12:00,CZE,Czechia,RSA,South Africa,VEN10,Mercedes-Benz Stadium,Atlanta,United States,13,6.67,6.96,-0.29000000000000004,652.5,1214.6,-562.0999999999999
GS010,Group Stage,B,2026-06-18,15:00,CAN,Canada,QAT,Qatar,VEN01,BC Place,Vancouver,Canada,70,6.0,5.12,0.8799999999999999,3356.8,3866.8,-510.0
GS004,Group Stage,A,2026-06-18,19:00,MEX,Mexico,KOR,South Korea,VEN05,Estadio Akron,Zapopan,Mexico,540,7.25,6.96,0.29000000000000004,716.7,0.0,716.7
GS022,Group Stage,D,2026-06-19,12:00,USA,United States,AUS,Australia,VEN13,Lumen Field,Seattle,United States,2,6.75,5.62,1.13,1970.7,4491.5,-2520.8
GS015,Group Stage,C,2026-06-19,18:00,SCO,Scotland,MAR,Morocco,VEN12,Lincoln Financial Field,Philadelphia,United States,320,5.88,6.0,-0.1200000000000001,3504.0,1202.9,2301.1
GS021,Group Stage,D,2026-06-19,21:00,TUR,Turkiye,PAR,Paraguay,VEN14,Levi's Stadium,Santa Clara,United States,12,6.0,7.12,-1.12,3866.8,1657.4,2209.4
GS016,Group Stage,C,2026-06-19,21:00,BRA,Brazil,HAI,Haiti,VEN15,Gillette Stadium,Foxborough,United States,2,6.12,6.0,0.1200000000000001,0.0,3855.3,-3855.3
GS033,Group Stage,F,2026-06-20,12:00,NED,Netherlands,SWE,Sweden,VEN09,NRG Stadium,Houston,United States,163,5.88,5.67,0.20999999999999996,2314.9,1482.4,832.5
GS027,Group Stage,E,2026-06-20,16:00,GER,Germany,CIV,Ivory Coast,VEN02,BMO Field,Toronto,Canada,76,6.17,6.12,0.04999999999999982,1955.4,1179.8,775.6000000000001
GS028,Group Stage,E,2026-06-20,19:00,ECU,Ecuador,CUW,Curacao,VEN08,Arrowhead Stadium,Kansas City,United States,38,6.25,6.29,-0.040000000000000036,3119.5,1974.3,1145.2
GS034,Group Stage,F,2026-06-20,22:00,TUN,Tunisia,JPN,Japan,VEN04,Estadio BBVA,Guadalupe,Mexico,1566,6.08,6.29,-0.20999999999999996,0.0,2577.4,-2577.4
GS046,Group Stage,H,2026-06-21,12:00,ESP,Spain,KSA,Saudi Arabia,VEN10,Mercedes-Benz Stadium,Atlanta,United States,13,6.0,5.75,0.25,0.0,2561.8,-2561.8
