match_id,match_date,team_a_raw_name,team_b_raw_name,team_a_id,team_b_id,team_a_is_wc2026,team_b_is_wc2026,tournament,neutral_flag,importance,team_a_pre_elo,team_b_pre_elo,pre_elo_difference,team_a_host_advantage,team_b_host_advantage,team_a_score,team_b_score,target_result,team_a_matches_last_5,team_a_wins_last_5,team_a_points_avg_last_5,team_a_goal_diff_avg_last_5,team_a_matches_last_10,team_a_wins_last_10,team_a_points_avg_last_10,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_avg_opponent_elo_last_10,team_a_days_since_last_match,team_b_matches_last_5,team_b_wins_last_5,team_b_points_avg_last_5,team_b_goal_diff_avg_last_5,team_b_matches_last_10,team_b_wins_last_10,team_b_points_avg_last_10,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_avg_opponent_elo_last_10,team_b_days_since_last_match,wins_last_5_difference,points_avg_last_5_difference,goal_diff_avg_last_5_difference,goals_for_avg_last_10_difference,goals_against_avg_last_10_difference,goal_diff_avg_last_10_difference,avg_opponent_elo_last_10_difference,days_since_last_match_difference,match_date_dt
HIST_000020,2014-03-05,Bosnia and Herzegovina,Egypt,BIH,EGY,1,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000021,2014-03-05,Colombia,Tunisia,COL,TUN,1,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000022,2014-03-05,Czech Republic,Norway,CZE,NOR,1,1,Friendly,0.0,10.0,1500.0,1496.2435952424885,3.7564047575117456,1.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,2.0,1.0,1.5,-1.0,2,1,1.5,1.0,2.0,-1.0,1500.0,46.0,-1.0,-1.5,1.0,-1.0,-2.0,1.0,0.0,319.0,2014-03-05
HIST_000023,2014-03-05,England,Denmark,ENG,Denmark,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000024,2014-03-05,France,Netherlands,FRA,NED,1,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000025,2014-03-05,Germany,Chile,GER,Chile,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000026,2014-03-05,Greece,South Korea,Greece,KOR,0,1,Friendly,0.0,10.0,1500.0,1486.690667669406,13.30933233059386,1.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,3.0,1.0,1.0,-1.6666666666666667,3,1,1.0,0.3333333333333333,2.0,-1.6666666666666667,1500.0,32.0,-1.0,-1.0,1.6666666666666667,-0.3333333333333333,-2.0,1.6666666666666667,0.0,333.0,2014-03-05
HIST_000027,2014-03-05,Iran,Guinea,IRN,Guinea,1,0,Friendly,0.0,10.0,1524.3527480156995,1500.0,24.35274801569972,1.0,0.0,1,2,0,1.0,1.0,3.0,1.0,1,1,3.0,3.0,2.0,1.0,1464.730847567099,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,3.0,1.0,3.0,2.0,1.0,-35.26915243290091,-363.0,2014-03-05
HIST_000028,2014-03-05,Iraq,China,IRQ,China,1,0,AFC Asian Cup qualification,1.0,40.0,1510.4930614433406,1500.0,10.493061443340594,0.0,0.0,3,1,2,1.0,1.0,3.0,2.0,1,1,3.0,2.0,0.0,2.0,1500.0,12.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,-353.0,2014-03-05
HIST_000029,2014-03-05,Japan,New Zealand,JPN,NZL,1,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,4,2,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000030,2014-03-05,Jordan,Syria,JOR,Syria,1,0,AFC Asian Cup qualification,0.0,40.0,1565.5488664409988,1500.0,65.54886644099884,1.0,0.0,2,1,2,5.0,3.0,2.0,0.4,5,3,2.0,1.2,0.8,0.4,1503.6675361254604,29.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,3.0,2.0,0.4,1.2,0.8,0.4,3.667536125460401,-336.0,2014-03-05
HIST_000031,2014-03-05,Kosovo,Haiti,Kosovo,HAI,0,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000032,2014-03-05,Luxembourg,Cape Verde,Luxembourg,CPV,0,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
